id_prefix,id_mid,match,FRN_NameAsPublished,AIANNH_Geoname_Full,STATES,AIANNHCE,AIANNHNS
TRBF,CRDALN,nd,Coeur D'Alene Tribe,Coeur d'Alene Reservation,ID,0705,00395231
TRBF,CSMONO,nd,Cold Springs Rancheria of Mono Indians of California,Cold Springs Rancheria,CA,0720,00276284
TRBF,CORIVR,nd,"Colorado River Indian Tribes of the Colorado River Indian Reservation, Arizona and California",Colorado River Indian Reservation,AZ~CA,0735,00022753
TRBF,CMNCHE,nd,"Comanche Nation, Oklahoma",Kiowa-Comanche-Apache-Fort Sill Apache OTSA,OK,5720,02418654
TRBF,CMNCHE,n,"Comanche Nation, Oklahoma",Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,OK,5955,02418655
TRBF,CSKTFR,nd,Confederated Salish and Kootenai Tribes of the Flathead Reservation,Flathead Reservation,MT,1110,00806894
TRBF,YAKAMA,nd,Confederated Tribes and Bands of the Yakama Nation,Yakama Nation Reservation,WA,4690,01502906
TRBF,YAKAMA,r,Confederated Tribes and Bands of the Yakama Nation,Celilo Village,OR,0560,02419333
TRBF,SILETZ,nd,Confederated Tribes of Siletz Indians of Oregon,Siletz Reservation,OR,3795,01155124
TRBF,CHEHLS,nd,Confederated Tribes of the Chehalis Reservation,Chehalis Reservation,WA,0575,01503930
TRBF,COLVLL,nd,Confederated Tribes of the Colville Reservation,Colville Reservation,WA,0760,01529464
TRBF,CLUSLW,nd,"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians","Coos, Lower Umpqua, and Siuslaw Reservation",OR,0770,02418879
TRBF,CFTGSH,n,"Confederated Tribes of the Goshute Reservation, Nevada and Utah",Goshute Reservation,NV~UT,1340,01455300
TRBF,GRNRND,nd,Confederated Tribes of the Grand Ronde Community of Oregon,Grand Ronde Community,OR,1365,02418950
TRBF,UMATLL,nd,Confederated Tribes of the Umatilla Indian Reservation,Umatilla Reservation,OR~WA,4405,01159100
TRBF,UMATLL,r,Confederated Tribes of the Umatilla Indian Reservation,Celilo Village,OR,0560,02419333
TRBF,WRMSPR,nd,Confederated Tribes of the Warm Springs Reservation of Oregon,Warm Springs Reservation,OR,4545,01133438
TRBF,WRMSPR,r,Confederated Tribes of the Warm Springs Reservation of Oregon,Celilo Village,OR,0560,02419333
TRBF,COQLLE,nd,Coquille Indian Tribe,Coquille Reservation,OR,0775,02418881
TRBF,COUSLA,nd,Coushatta Tribe of Louisiana,Coushatta Reservation,LA,0795,00545438
TRBF,COWCRU,nd,Cow Creek Band of Umpqua Tribe of Indians,Cow Creek Reservation,OR,0815,02418898
TRBF,COWLTZ,n,Cowlitz Indian Tribe,Cowlitz Reservation,WA,0820,02772245
TRBF,CVPOMO,nd,Coyote Valley Band of Pomo Indians of California,Coyote Valley Reservation,CA,0825,01985199
AKNF,CRAIGT,nd,Craig Tribal Association,Craig ANVSA,AK,6385,02418851
TRBF,CRCRSX,nd,"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota",Crow Creek Reservation,SD,0855,01267067
TRBF,CROWMT,nd,Crow Tribe of Montana,Crow Reservation,MT,0845,00806896
AKNF,CRYUNG,d,Curyung Tribal Council,Dillingham ANVSA,AK,6405,02418554
TRBF,DELAWN,nd,"Delaware Nation, Oklahoma",Caddo-Wichita-Delaware OTSA,OK,5540,01925075
TRBF,DELAWN,n,"Delaware Nation, Oklahoma",Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,OK,5955,02418655
TRBF,DELAWT,d,Delaware Tribe of Indians,Cherokee OTSA,OK,5550,02418810
AKNF,DOUGLS,n,Douglas Indian Association,Douglas ANVSA,AK,6420,02418558
TRBF,DCPOMO,n,"Dry Creek Rancheria Band of Pomo Indians, California",Dry Creek Rancheria,CA,0955,00222639
TRBF,DUCKSH,nd,"Duckwater Shoshone Tribe (previously listed as Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada)",Duckwater Reservation,NV,0975,00845441
TRBF,ECHKEE,nd,Eastern Band of Cherokee Indians,Eastern Cherokee Reservation,NC,0990,01018039
TRBF,ESHAWN,nd,Eastern Shawnee Tribe of Oklahoma,Eastern Shawnee OTSA,OK,5640,02418563
TRBF,EASTSH,nd,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming",Wind River Reservation,WY,4610,01597068
AKNF,EGEGIK,nd,Egegik Village,Egegik ANVSA,AK,6445,02418567
AKNF,EKLTNA,nd,Eklutna Native Village,Eklutna ANVSA,AK,6450,02418569
TRBF,ELPOMO,n,"Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California",Sulphur Bank Rancheria,CA,4030,00267889
TRBF,ELKVLY,nd,"Elk Valley Rancheria, California",Elk Valley Rancheria,CA,1010,01657318
TRBF,ELYTSH,nd,Ely Shoshone Tribe of Nevada,Ely Reservation,NV,1040,00859672
AKNF,EMMNAK,nd,Emmonak Village,Emmonak ANVSA,AK,6480,02418573
TRBF,ENTMDU,n,Enterprise Rancheria of Maidu Indians of California,Enterprise Rancheria,CA,1055,00259950
