"neid_prefix","neid_mid","FRN_NameAsPublished","FRN_Date"
TRBF,NWSSHN,"Northwestern Band of the Shoshone Nation",12/11/2024
TRBF,OGLALA,"Oglala Sioux Tribe",12/11/2024
TRBF,OKYOWG,"Ohkay Owingeh, New Mexico",12/11/2024
TRBF,OMAHAT,"Omaha Tribe of Nebraska",12/11/2024
TRBF,ONDANY,"Oneida Indian Nation",12/11/2024
TRBF,ONDAWI,"Oneida Nation",12/11/2024
TRBF,ONNDGA,"Onondaga Nation",12/11/2024
TRBF,OSAGEN,"The Osage Nation",12/11/2024
TRBF,OTOMSA,"Otoe-Missouria Tribe of Indians, Oklahoma",12/11/2024
TRBF,OWATOK,"Ottawa Tribe of Oklahoma",12/11/2024
TRBF,PALABD,"Pala Band of Mission Indians",12/11/2024
TRBF,PAMNKY,"Pamunkey Indian Tribe",12/11/2024
TRBF,PAUMAB,"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California",12/11/2024
TRBF,PAWNEE,"Pawnee Nation of Oklahoma",12/11/2024
TRBF,PCHNGA,"Pechanga Band of Indians (previously listed as Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation, California)",12/11/2024
TRBF,PCURIS,"Pueblo of Picuris, New Mexico",12/11/2024
TRBF,PEORIA,"Peoria Tribe of Indians of Oklahoma",12/11/2024
TRBF,PGMBSK,"Port Gamble S'Klallam Tribe",12/11/2024
TRBF,PITRVR,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",12/11/2024
TRBF,PLKLYK,"Resighini Rancheria, California",1/8/2024
TRBF,PLKLYK,"Pulikla Tribe of Yurok People (previously listed as Resighini Rancheria, California)",12/11/2024
TRBF,PNBSCT,"Penobscot Nation",12/11/2024
TRBF,PNCANE,"Ponca Tribe of Nebraska",12/11/2024
TRBF,PNCAOK,"Ponca Tribe of Indians of Oklahoma",12/11/2024
TRBF,PNOLVL,"Pinoleville Pomo Nation, California",12/11/2024
TRBF,POARCH,"Poarch Band of Creek Indians",12/11/2024
TRBF,POJOAQ,"Pueblo of Pojoaque, New Mexico",12/11/2024
TRBF,POKAGN,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",12/11/2024
TRBF,PRAIRB,"Prairie Band Potawatomi Nation",12/11/2024
TRBF,PRAIRI,"Prairie Island Indian Community in the State of Minnesota",12/11/2024
TRBF,PRSCTT,"Yavapai-Prescott Indian Tribe",12/11/2024
TRBF,PSKNML,"Paskenta Band of Nomlaki Indians of California",12/11/2024
TRBF,PSMQDY,"Passamaquoddy Tribe",12/11/2024
TRBF,PSQYQI,"Pascua Yaqui Tribe of Arizona",12/11/2024
TRBF,PTTERV,"Potter Valley Tribe, California",12/11/2024
