id_AK,id_temp,FRN_NameAsPublished,FRN_Date
AKNV,108,Native Village of Council,12/11/2024
AKNV,122,Native Village of Deering,12/11/2024
AKNV,180,Native Village of Diomede (aka Inalik),12/11/2024
AKNV,540,Native Village of Eagle,12/11/2024
AKNV,332,Native Village of Eek,12/11/2024
AKNV,329,Native Village of Ekuk,12/11/2024
AKNV,541,Native Village of Ekwok,12/11/2024
AKNV,330,Native Village of Elim,12/11/2024
AKNV,331,Native Village of Eyak (Cordova),12/11/2024
AKNV,144,Native Village of False Pass,12/11/2024
AKNV,157,Native Village of Fort Yukon,12/11/2024
AKNV,145,Native Village of Gakona,12/11/2024
AKNV,146,Native Village of Gambell,12/11/2024
AKNV,147,Native Village of Georgetown,12/11/2024
AKNV,150,Native Village of Goodnews Bay,12/11/2024
AKNV,159,Native Village of Hamilton,12/11/2024
AKNV,172,Native Village of Hooper Bay,12/11/2024
AKNV,200,Native Village of Kanatak,12/11/2024
AKNV,201,Native Village of Karluk,12/11/2024
AKNV,544,Native Village of Kiana,12/11/2024
AKNV,213,Native Village of Kipnuk,12/11/2024
AKNV,234,Native Village of Kivalina,12/11/2024
AKNV,218,Native Village of Kluti Kaah (aka Copper Center),12/11/2024
AKNV,223,Native Village of Kobuk,12/11/2024
AKNV,219,Native Village of Kongiganak,12/11/2024
AKNV,233,Native Village of Kotzebue,12/11/2024
AKNV,228,Native Village of Koyuk,12/11/2024
AKNV,235,Native Village of Kwigillingok,12/11/2024
AKNV,400,Native Village of Kwinhagak (aka Quinhagak),12/11/2024
AKNV,239,Native Village of Larsen Bay,12/11/2024
AKNV,285,Native Village of Marshall (aka Fortuna Ledge),12/11/2024
AKNV,272,Native Village of Mary's Igloo,12/11/2024
AKNV,268,Native Village of Mekoryuk,12/11/2024
AKNV,546,Native Village of Minto,12/11/2024
AKNV,295,Native Village of Nanwalek (aka English Bay),12/11/2024
AKNV,322,Native Village of Napaimute,12/11/2024
AKNV,296,Native Village of Napakiak,12/11/2024
AKNV,297,Native Village of Napaskiak,12/11/2024
AKNV,311,Native Village of Nelson Lagoon,12/11/2024
AKNV,304,Native Village of Nightmute,12/11/2024
AKNV,308,Native Village of Nikolski,12/11/2024
AKNV,317,Native Village of Noatak,12/11/2024
AKNV,327,Native Village of Nuiqsut (aka Nooiksut),12/11/2024
AKNV,314,Native Village of Nunam Iqua,12/11/2024
AKNV,315,Native Village of Nunapitchuk,12/11/2024
AKNV,351,Native Village of Ouzinkie,12/11/2024
AKNV,547,Native Village of Paimiut,12/11/2024
AKNV,378,Native Village of Perryville,12/11/2024
AKNV,362,Native Village of Pilot Point,12/11/2024
AKNV,371,Native Village of Point Hope,12/11/2024
AKNV,372,Native Village of Point Lay,12/11/2024
AKNV,379,Native Village of Port Graham,12/11/2024
AKNV,380,Native Village of Port Heiden,12/11/2024
AKNV,381,Native Village of Port Lions,12/11/2024
AKNV,333,Native Village of Ruby,12/11/2024
AKNV,482,Native Village of Saint Michael,12/11/2024
AKNV,417,Native Village of Savoonga,12/11/2024
AKNV,425,Native Village of Scammon Bay,12/11/2024
AKNV,429,Native Village of Selawik,12/11/2024
AKNV,435,Native Village of Shaktoolik,12/11/2024
AKNV,473,Native Village of Shishmaref,12/11/2024
AKNV,438,Native Village of Shungnak,12/11/2024
AKNV,478,Native Village of Stevens,12/11/2024
AKNV,511,Native Village of Tanacross,12/11/2024
AKNV,334,Native Village of Tanana,12/11/2024
AKNV,495,Native Village of Tatitlek,12/11/2024
AKNV,496,Native Village of Tazlina,12/11/2024
AKNV,499,Native Village of Teller,12/11/2024
AKNV,501,Native Village of Tetlin,12/11/2024
AKNV,514,Native Village of Tuntutuliak,12/11/2024
AKNV,524,Native Village of Tununak,12/11/2024
AKNV,527,Native Village of Tyonek,12/11/2024
AKNV,532,Native Village of Unalakleet,12/11/2024
AKNV,335,Native Village of Unga,12/11/2024
AKNV,542,Native Village of Venetie Tribal Government (Arctic Village and Village of Venetie),12/11/2024
AKNV,549,Native Village of Wales,12/11/2024
AKNV,336,Native Village of White Mountain,12/11/2024
TR48,299,"Navajo Nation, Arizona, New Mexico, & Utah",12/11/2024
AKNV,300,Nenana Native Association,12/11/2024
AKNV,307,New Koliganek Village Council,12/11/2024
AKNV,326,New Stuyahok Village,12/11/2024
AKNV,305,Newhalen Village,12/11/2024
AKNV,301,Newtok Village,12/11/2024
TR48,302,Nez Perce Tribe,12/11/2024
AKNV,309,Nikolai Village,12/11/2024
AKNV,313,Ninilchik Village,12/11/2024
TR48,306,Nisqually Indian Tribe,12/11/2024
AKNV,318,Nome Eskimo Community,12/11/2024
AKNV,312,Nondalton Village,12/11/2024
TR48,319,Nooksack Indian Tribe,12/11/2024
AKNV,320,Noorvik Native Community,12/11/2024
TR48,298,"Northern Arapaho Tribe of the Wind River Reservation, Wyoming",12/11/2024
TR48,321,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",12/11/2024
TR48,303,Northfork Rancheria of Mono Indians of California,12/11/2024
AKNV,324,Northway Village,12/11/2024
TR48,337,Northwestern Band of the Shoshone Nation,12/11/2024
TR48,325,"Nottawaseppi Huron Band of the Potawatomi, Michigan",12/11/2024
AKNV,328,Nulato Village,12/11/2024
AKNV,310,Nunakauyarmiut Tribe,12/11/2024
TR48,338,Oglala Sioux Tribe,12/11/2024
TR48,341,"Ohkay Owingeh, New Mexico",12/11/2024
TR48,342,Omaha Tribe of Nebraska,12/11/2024
TR48,343,Oneida Indian Nation,12/11/2024
TR48,344,Oneida Nation,12/11/2024
TR48,345,Onondaga Nation,12/11/2024
AKNV,154,Organized Village of Grayling (aka Holikachuk),12/11/2024
AKNV,545,Organized Village of Kake,12/11/2024
AKNV,203,Organized Village of Kasaan,12/11/2024
AKNV,237,Organized Village of Kwethluk,12/11/2024
AKNV,418,Organized Village of Saxman,12/11/2024
AKNV,349,Orutsararmiut Traditional Native Council,12/11/2024
AKNV,347,Oscarville Traditional Village,12/11/2024
TR48,348,"Otoe-Missouria Tribe of Indians, Oklahoma",12/11/2024
TR48,350,Ottawa Tribe of Oklahoma,12/11/2024
TR48,389,"Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)",12/11/2024
TR48,387,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",12/11/2024
TR48,352,Pala Band of Mission Indians,12/11/2024
TR48,354,Pamunkey Indian Tribe,12/11/2024
TR48,384,Pascua Yaqui Tribe of Arizona,12/11/2024
TR48,382,Paskenta Band of Nomlaki Indians of California,12/11/2024
TR48,383,Passamaquoddy Tribe,12/11/2024
AKNV,366,Pauloff Harbor Village,12/11/2024
TR48,353,"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California",12/11/2024
TR48,355,Pawnee Nation of Oklahoma,12/11/2024
TR48,356,"Pechanga Band of Indians (previously listed as Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation, California)",12/11/2024
AKNV,359,Pedro Bay Village,12/11/2024
TR48,368,Penobscot Nation,12/11/2024
TR48,360,Peoria Tribe of Indians of Oklahoma,12/11/2024
AKNV,386,Petersburg Indian Association,12/11/2024
TR48,392,Picayune Rancheria of Chukchansi Indians of California,12/11/2024
AKNV,363,Pilot Station Traditional Village,12/11/2024
TR48,391,"Pinoleville Pomo Nation, California",12/11/2024
TR48,364,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",12/11/2024
AKNV,385,Pitka's Point Traditional Council,12/11/2024
AKNV,365,Platinum Traditional Village,12/11/2024
TR48,357,Poarch Band of Creek Indians,12/11/2024
TR48,374,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",12/11/2024
TR48,370,Ponca Tribe of Indians of Oklahoma,12/11/2024
TR48,369,Ponca Tribe of Nebraska,12/11/2024
TR48,361,Port Gamble S'Klallam Tribe,12/11/2024
AKNV,339,Portage Creek Village (aka Ohgsenakale),12/11/2024
TR48,388,"Potter Valley Tribe, California",12/11/2024
TR48,376,Prairie Band Potawatomi Nation,12/11/2024
TR48,375,Prairie Island Indian Community in the State of Minnesota,12/11/2024
AKNV,377,Pribilof Islands Aleut Communities of St. Paul & St. George Islands (Saint George Island and Saint Paul Island),12/11/2024
TR48,1,"Pueblo of Acoma, New Mexico",12/11/2024
TR48,102,"Pueblo of Cochiti, New Mexico",12/11/2024
TR48,188,"Pueblo of Isleta, New Mexico",12/11/2024
TR48,193,"Pueblo of Jemez, New Mexico",12/11/2024
TR48,238,"Pueblo of Laguna, New Mexico",12/11/2024
TR48,294,"Pueblo of Nambe, New Mexico",12/11/2024
TR48,358,"Pueblo of Picuris, New Mexico",12/11/2024
TR48,373,"Pueblo of Pojoaque, New Mexico",12/11/2024
TR48,430,"Pueblo of San Felipe, New Mexico",12/11/2024
TR48,443,"Pueblo of San Ildefonso, New Mexico",12/11/2024
TR48,416,"Pueblo of Sandia, New Mexico",12/11/2024
TR48,475,"Pueblo of Santa Ana, New Mexico",12/11/2024
TR48,424,"Pueblo of Santa Clara, New Mexico",12/11/2024
TR48,494,"Pueblo of Taos, New Mexico",12/11/2024
TR48,519,"Pueblo of Tesuque, New Mexico",12/11/2024
TR48,575,"Pueblo of Zia, New Mexico",12/11/2024
TR48,390,Puyallup Tribe of the Puyallup Reservation,12/11/2024
TR48,393,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",12/11/2024
AKNV,394,Qagan Tayagungin Tribe of Sand Point,12/11/2024
AKNV,401,Qawalangin Tribe of Unalaska,12/11/2024
TR48,395,Quapaw Nation,12/11/2024
TR48,396,Quartz Valley Indian Community of the Quartz Valley Reservation of California,12/11/2024
TR48,397,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",12/11/2024
TR48,398,Quileute Tribe of the Quileute Reservation,12/11/2024
TR48,399,Quinault Indian Nation,12/11/2024
TR48,407,"Ramona Band of Cahuilla, California",12/11/2024
AKNV,402,Rampart Village,12/11/2024
TR48,412,"Rappahannock Tribe, Inc.",12/11/2024
TR48,403,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,12/11/2024
TR48,405,"Red Lake Band of Chippewa Indians, Minnesota",12/11/2024
TR48,404,"Redding Rancheria, California",12/11/2024
TR48,414,Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California,12/11/2024
TR48,410,"Reno-Sparks Indian Colony, Nevada",12/11/2024
TR48,367,"Resighini Rancheria, California",1/8/2024
TR48,367,"Pulikla Tribe of Yurok People (previously listed as Resighini Rancheria, California)",12/11/2024
TR48,408,"Rincon Band of Luiseno Mission Indians of Rincon Reservation, California",12/11/2024
TR48,411,Robinson Rancheria,12/11/2024
TR48,413,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",12/11/2024
