"Census_RaceEthCode","Census_Description"
"5129","EGEGIK VILLAGE"
"5129","EGEGIK"
"5129","BECHAROF CORP."
"5130","IGIUGIG VILLAGE"
"5130","IGIUGIG"
"5130","IGIUGIG NATIVE CORP."
"5131","IVANOF BAY TRIBE"
"5131","BAY VIEW INC."
"5131","IVANOF BAY"
"5131","IVANOF BAY VILLAGE"
"5132","KAGUYAK VILLAGE"
"5132","KAGUYUK"
"5135","KING SALMON TRIBE"
"5135","KING SALMON"
"5136","KODIAK"
"5137","KOKHANOK VILLAGE"
"5137","KOKHANOK"
"5138","KONIAG, INCORPORATED"
"5138","AFOGNAK NATIVE CORP."
"5138","AKHIOK-KAGUYAK, INC."
"5138","KONIAG INC"
"5139","TANGIRNAQ NATIVE VILLAGE"
"5139","LESNOI"
"5139","LEISNOI, INC."
"5139","LESNOI VILLAGE"
"5139","LESNOI VILLAGE (WOODY ISLAND)"
"5139","TANGIRNAQ"
"5139","WOODY ISLAND"
"5140","NATIVE VILLAGE OF AFOGNAK"
"5140","AFOGNAK"
"5140","ALUTIIQ LLC"
"5141","NATIVE VILLAGE OF AKHIOK"
"5141","AKHIOK"
"5142","NATIVE VILLAGE OF AKUTAN"
"5142","AKUTAN"
"5142","AKUTAN CORP."
"5143","NATIVE VILLAGE OF ATKA"
"5143","ATKA"
"5143","ATXAM CORP."
"5144","NATIVE VILLAGE OF BELKOFSKI"
"5144","BELKOFSKI"
"5144","BELKOFSKI CORP."
"5145","NATIVE VILLAGE OF CHENEGA (CHANEGA)"
"5145","CHANEGA"
"5145","CHENEGA"
"5145","CHENEGA BAY"
"5145","CHENEGA CORP."
"5145","NATIVE VILLAGE OF CHANEGA"
"5145","NATIVE VILLAGE OF CHANEGA (CHENEGA)"
"5146","NATIVE VILLAGE OF CHIGNIK LAGOON"
"5146","CHIGNIK LAGOON"
"5146","CHIGNIK LAGOON NATIVE CORP."
"5147","NATIVE VILLAGE OF EYAK (CORDOVA)"
"5147","CORDOVA"
"5147","EYAK"
"5147","NATIVE VILLAGE OF EYAK"
"5147","THE EYAK CORP."
"5148","NATIVE VILLAGE OF FALSE PASS"
"5148","FALSE PASS"
"5148","ISANOTSKI CORP."
"5149","NATIVE VILLAGE OF KANATAK"
"5149","KANATAK"
"5150","NATIVE VILLAGE OF KARLUK"
"5150","KARLUK"
"5151","NATIVE VILLAGE OF LARSEN BAY"
"5151","LARSEN BAY"
"5152","NATIVE VILLAGE OF NANWALEK (ENGLISH BAY)"
"5152","ENGLISH BAY"
"5152","NANWALEK"
"5152","NATIVE VILLAGE OF NANWALEK"
"5152","THE ENGLISH BAY CORP."
"5153","NATIVE VILLAGE OF NELSON LAGOON"
"5153","NELSON LAGOON"
"5153","NELSON LAGOON CORP."
"5154","NATIVE VILLAGE OF NIKOLSKI"
"5154","CHALUKA CORP."
"5154","NIKOLSKI"
"5155","NATIVE VILLAGE OF OUZINKIE"
"5155","OUZINKIE"
"5155","OUZINKIE NATIVE CORP."
"5156","NATIVE VILLAGE OF PERRYVILLE"
"5156","OCEANSIDE CORP."
"5156","PERRYVILLE"
"5157","NATIVE VILLAGE OF PILOT POINT"
"5157","PILOT POINT"
"5157","PILOT POINT NATIVE CORP."
"5158","NATIVE VILLAGE OF PORT GRAHAM"
"5158","PORT GRAHAM"
"5158","PORT GRAHAM CORP."
"5159","NATIVE VILLAGE OF PORT HEIDEN"
"5159","PORT HEIDEN"
"5160","NATIVE VILLAGE OF PORT LIONS"
"5160","PORT LIONS"
"5161","NATIVE VILLAGE OF TATITLEK"
"5161","TATITLEK"
"5161","THE TATITLEK CORP."
"5162","NATIVE VILLAGE OF UNGA"
"5162","UNGA"
"5162","UNGA CORP."
"5163","PAULOFF HARBOR VILLAGE"
"5163","PAULOFF"
"5163","SANAK CORP."
"5164","QAGAN TAYAGUNGIN TRIBE OF SAND POINT"
"5164","QAGAN TAYAGUNGIN"
"5164","QAGAN TAYAGUNGIN TRIBE"
"5164","QAGAN TAYAGUNGIN TRIBE OF SAND POINT VILLAGE"
"5164","QTT"
"5164","SHUMAGIN CORP."
"5165","QAWALANGIN TRIBE OF UNALASKA"
"5165","QAWALANGIN"
"5165","OUNALASHKA CORP."
"5168","SOUTH NAKNEK VILLAGE"
"5168","SOUTH NAKNEK"
"5168","QINUYANG"
"5169","SUGPIAQ"
"5170","SUN’AQ TRIBE OF KODIAK"
"5170","NATIVES OF KODIAK INC."
"5170","SHOONAQ"
"5170","SHOONAQ TRIBE OF KODIAK"
"5170","SUN’AQ"
"5171","UGASHIK VILLAGE"
"5171","UGASHIK"
"5171","UGASHIK TRADITIONAL VILLAGE"
"5172","UNANGAN (UNALASKA)"
"5172","UNALASKA"
"5172","UNANGAN"
"5173","ALUTIIQ TRIBE OF OLD HARBOR"
"5173","NATIVE VILLAGE OF OLD HARBOR"
"5173","OLD HARBOR NATIVE CORP."
"5173","OLD HARBOR TRIBAL COUNCIL"
"5173","VILLAGE OF OLD HARBOR"
"5174","PRIBILOF ISLANDS ALEUT COMMUNITIES"
"5174","PRIBILOF ISLANDS"
"5175","SAINT GEORGE ISLAND"
"5175","ALEUT COMMUNITY OF ST GEORGE ISLAND"
"5175","ST GEORGE"
"5175","ST GEORGE TANAQ CORP."
"5175","ST GEORGE TC"
"5176","SAINT PAUL ISLAND"
"5176","ALEUT COMMUNITY OF ST PAUL ISLAND"
"5176","SAINT PAUL"
"5176","TANADGUSIX CORP."
"5220","ESKIMO"
"5221","INUPIAT (INUPIAQ)"
"5221","INUPIAQ"
"5221","INUPIAT"
"5222","AMERICAN ESKIMO"
"5223","ARCTIC SLOPE REGIONAL CORPORATION"
"5223","ARCTIC SLOPE CORPORATION"
"5223","ARCTIC SLOPE"
"5223","ASRC"
"5223","NORTH SLOPE REGIONAL CORP"
"5224","NATIVE VILLAGE OF ATQASUK"
"5224","ATKASOOK"
"5224","ATQASUK"
"5224","ATQASUK CORP."
"5224","ATQASUK VILLAGE"
"5224","ATQASUK VILLAGE (ATKASOOK)"
"5225","BERING STRAITS NATIVE CORPORATION"
"5225","BERING STRAITS"
"5225","BSNC"
"5225","KAWERAK"
"5226","CHEVAK NATIVE VILLAGE"
"5226","CHEVAK"
"5226","CHEVAK COMPANY"
"5227","CHINIK ESKIMO COMMUNITY (GOLOVIN)"
"5227","CHINIK"
"5227","CHINIK ESKIMO COMMUNITY"
"5227","GOLOVIN"
"5227","GOLOVIN NATIVE CORP."
"5228","GREENLAND INUIT"
"5228","GREENLAND ESKIMO"
"5229","INUIT"
"5230","INUPIAT COMMUNITY OF THE ARCTIC SLOPE"
"5230","ICAS"
"5231","KAKTOVIK VILLAGE (BARTER ISLAND)"
"5231","BARTER ISLAND"
"5231","KAKTOVIK"
"5231","KAKTOVIK INUPIAT CORP."
"5231","KAKTOVIK VILLAGE"
"5233","KING ISLAND NATIVE COMMUNITY"
"5233","KING ISLAND"
"5233","KING ISLAND NATIVE CORP."
"5234","NANA REGIONAL CORPORATION"
"5234","NANA"
"5234","NANA INUPIAT"
"5235","NATIVE VILLAGE OF AMBLER"
"5236","NATIVE VILLAGE OF BARROW INUPIAT TRADITIONAL GOVERNMENT"
"5236","BARROW"
"5236","NATIVE VILLAGE OF BARROW"
"5236","UKPEAGVIK INUPIAT CORP."
"5236","UIC"
"5237","NATIVE VILLAGE OF BREVIG MISSION"
"5237","BREVIG MISSION"
"5237","BREVIG MISSION NATIVE CORP."
"5238","NATIVE VILLAGE OF BUCKLAND"
"5238","BUCKLAND"
"5239","NATIVE VILLAGE OF COUNCIL"
"5239","COUNCIL NATIVE CORP."
"5240","NATIVE VILLAGE OF DEERING"
"5240","DEERING"
"5241","NATIVE VILLAGE OF DIOMEDE (INALIK)"
"5241","DIOMEDE"
"5241","INALIK"
"5241","INALIK NATIVE CORP."
"5241","NATIVE VILLAGE OF DIOMEDE"
"5242","NATIVE VILLAGE OF ELIM"
"5242","ELIM IRA"
"5242","ELIM NATIVE CORP."
"5243","NATIVE VILLAGE OF KIANA"
"5244","NATIVE VILLAGE OF KIVALINA"
"5244","KIVALINA"
"5245","NATIVE VILLAGE OF KOBUK"
"5245","KOBUK"
"5246","NATIVE VILLAGE OF KOTZEBUE"
"5246","KIKIKTAGRUK INUPIAT CORP."
"5246","KOTZEBUE"
"5246","NANA KIC"
"5246","NANA KIK"
"5247","NATIVE VILLAGE OF KOYUK"
"5247","KOYUK"
"5247","KOYUK NATIVE CORP."
"5248","NATIVE VILLAGE OF MARY’S IGLOO"
"5248","MARY'S IGLOO"
"5248","MARY'S IGLOO NATIVE CORP."
"5249","NATIVE VILLAGE OF MEKORYUK"
"5249","MEKORYUK"
"5249","MIKURYARMIUT"
"5249","NIMA CORP."
"5249","NUNIWARMIUT"
"5250","NATIVE VILLAGE OF NOATAK"
"5250","NOATAK"
"5251","NATIVE VILLAGE OF NUIQSUT (NOOIKSUT)"
"5251","KUUKPIK CORP."
"5251","NATIVE VILLAGE OF NUIQSUT"
"5251","NOOIKSUT"
"5251","NUIQSUT"
"5252","NATIVE VILLAGE OF POINT HOPE"
"5252","POINT HOPE IRA"
"5252","TIGARA CORP."
"5252","TIKIGAQ CORP."
"5253","NATIVE VILLAGE OF POINT LAY"
"5253","CULLY CORPORATION INC."
"5253","POINT LAY IRA"
"5254","NATIVE VILLAGE OF SELAWIK"
"5254","SELAWIK"
"5255","NATIVE VILLAGE OF SHAKTOOLIK"
"5255","SHAKTOOLIK"
"5255","SHAKTOOLIK NATIVE CORP."
"5256","NATIVE VILLAGE OF SHISHMAREF"
"5256","SHISHMAREF IRA"
"5256","SHISHMAREF NATIVE CORP."
"5257","NATIVE VILLAGE OF SHUNGNAK"
"5257","SHUNGNAK"
"5258","NATIVE VILLAGE OF TELLER"
"5258","TELLER"
"5258","TELLER NATIVE CORP."
"5259","NATIVE VILLAGE OF UNALAKLEET"
"5259","UNALAKLEET"
"5259","UNALAKLEET NATIVE CORP."
"5260","NATIVE VILLAGE OF WALES"
"5260","WALES NATIVE CORP."
"5261","NATIVE VILLAGE OF WHITE MOUNTAIN"
"5261","WHITE MOUNTAIN AK"
"5261","WHITE MOUNTAIN NATIVE CORP."
"5262","NOME ESKIMO COMMUNITY"
"5262","NOME"
"5262","SITNASAUK NATIVE CORP."
"5263","NOORVIK NATIVE COMMUNITY"
"5263","NOORVIK"
"5264","VILLAGE OF ANAKTUVUK PASS"
"5264","ANAKTUVUK PASS"
"5264","NAQSRAGMIUT TRIBE"
"5264","NUNAMIUT CORP., INC."
"5265","VILLAGE OF SOLOMON"
"5265","SOLOMON NATIVE CORP."
"5266","VILLAGE OF WAINWRIGHT"
"5266","OLGOONIK CORP."
"5266","WAINWRIGHT"
"5320","TLINGIT"
"5320","TLINGIT INDIAN"
"5321","CENTRAL COUNCIL OF THE TLINGIT AND HAIDA INDIAN TRIBES"
"5321","CCTH"
"5321","CCTHIT"
"5321","CCTHITA"
"5321","CENTRAL COUNCIL"
"5321","THCC"
"5321","TLINGIT & HAIDA"
"5321","TLINGIT HAIDA COUNCIL"
"5321","TLINGIT HAIDA INDIAN TRIBE"
"5322","CHILKAT INDIAN VILLAGE (KLUKWAN)"
"5322","CHILKAT"
"5322","CHILKAT INDIAN VILLAGE"
"5322","KLUKWAN"
"5322","KLUKWAN INC."
"5323","CHILKOOT INDIAN ASSOCIATION (HAINES)"
"5323","CHILKOOT"
"5323","CHILKOOT INDIAN ASSOCIATION"
"5323","HAINES"
"5324","CRAIG TRIBAL ASSOCIATION"
"5324","CRAIG COMMUNITY ASSOCIATION"
"5324","SHAAN-SEET INC."
"5325","DOUGLAS INDIAN ASSOCIATION"
"5326","HAIDA"
"5326","HAIDA INDIAN"
"5326","KAIGANI HAIDA"
"5327","HOONAH INDIAN ASSOCIATION"
"5327","HOONAH"
"5327","HUNA TOTEM CORP."
"5328","HYDABURG COOPERATIVE ASSOCIATION"
"5328","HYDABURG"
"5328","HAIDA CORP."
"5329","KETCHIKAN INDIAN COMMUNITY"
"5329","KETCHIKAN"
"5329","KETCHIKAN INDIAN CORPORATION"
"5330","KLAWOCK COOPERATIVE ASSOCIATION"
"5330","KLAWOCK"
"5330","KLAWOCK HEENYA CORP"
"5331","ORGANIZED VILLAGE OF KAKE"
"5331","KAKE"
"5331","KAKE TRIBAL CORP."
"5332","ORGANIZED VILLAGE OF KASAAN"
"5332","KASAAN"
"5332","KAVILCO, INC."
"5333","ORGANIZED VILLAGE OF SAXMAN"
"5333","CAPE FOX CORP."
"5333","SAXMAN"
"5333","SAXMAN IRA"
"5335","PETERSBURG INDIAN ASSOCIATION"
"5336","SEALASKA CORPORATION"
"5336","GOLDBELT INC."
"5336","SEALASKA CORPORATION (SOUTHEAST ALASKA)"
"5336","SOUTHEAST ALASKA"
"5337","SITKA TRIBE OF ALASKA"
"5337","SHEE ATIKA INC"
"5337","SITKA"
"5337","STA"
"5338","SKAGWAY VILLAGE"
"5338","SKAGWAY"
"5338","SKAGWAY TRADITIONAL COUNCIL"
"5339","TENAKEE SPRINGS"
"5340","ANGOON COMMUNITY ASSOCIATION"
"5340","ANGOON"
"5340","KOOTZNOOWOO INC."
"5341","WRANGELL COOPERATIVE ASSOCIATION"
"5341","WRANGELL"
"5342","YAKUTAT TLINGIT TRIBE"
"5342","YAK-TAT KWAAN INC."
"5342","YAKUTAT"
"5395","TSIMSHIAN"
"5395","TSIMSHIAN INDIAN"
"5396","METLAKATLA INDIAN COMMUNITY, ANNETTE ISLAND RESERVE"
"5396","ANNETTE ISLANDS RESERVE"
"5396","METLAKATLA"
"5396","METLAKATLA INDIAN COMMUNITY"
"5410","YUP’IK (YUP’IK ESKIMO)"
"5410","CUPIK"
"5410","YUPIK"
"5410","YUPIK ESKIMO"
"5411","AKIACHAK NATIVE COMMUNITY"
"5411","AKIACHAK"
"5411","AKIACHAK LIMITED"
"5412","AKIAK NATIVE COMMUNITY"
"5412","AKIAK"
"5412","KOKARMUIT CORP."
"5413","ALGAACIQ NATIVE VILLAGE (ST. MARY’S)"
"5413","ALGAACIQ"
"5413","ALGAACIQ NATIVE VILLAGE"
"5413","ST MARYS"
"5414","ASA’CARSARMIUT TRIBE"
"5414","ASA’CARSARMIUT"
"5414","AZACHOROK INC."
"5415","BRISTOL BAY NATIVE CORPORATION"
"5415","ALASKA PENINSULA CORP."
"5415","BBNC"
"5415","BRISTOL BAY"
"5415","BRISTOL BAY ALEUT"
"5415","CHOGGIUNG LIMITED"
"5416","CALISTA CORPORATION"
"5416","CALISTA"
"5416","CHINURUK, INC."
"5416","KONGNIGLKILNOMUIT YUITA CORP."
"5416","THE KUSKOKWIM CORPORATION (TKC)"
"5417","CHULOONAWICK NATIVE VILLAGE"
"5417","CHULOONAWICK"
"5417","CHULOONAWICK CORP."
"5417","CHULOONAWICK TRIBAL COUNCIL"
"5417","NATIVE VILLAGE OF CHULOONAWICK"
"5418","CURYUNG TRIBAL COUNCIL"
"5418","CURYUNG"
"5418","CURYUNG TRIBAL COUNCIL (NATIVE VILLAGE OF DILLINGHAM)"
"5418","NATIVE VILLAGE OF DILLINGHAM"
"5419","NATIVE VILLAGE OF EKWOK"
"5419","EKWOK"
"5419","EKWOK NATIVES LIMITED"
"5419","EKWOK VILLAGE"
"5420","EMMONAK VILLAGE"
"5420","EMMONAK"
"5420","EMMONAK CORP."
"5420","NATIVE VILLAGE OF EMMONAK"
"5421","IQUGMIUT TRADITIONAL COUNCIL"
"5421","IQURMUIT"
"5421","IQURMUIT TRADITIONAL COUNCIL"
"5421","RUSSIAN MISSION NATIVE CORP."
"5422","LEVELOCK VILLAGE"
"5422","LEVELOCK"
"5422","LEVELOCK NATIVES LTD."
"5423","MANOKOTAK VILLAGE"
"5423","MANOKOTAK"
"5423","MANOKOTAK NATIVES LTD."
"5423","MANOKOTAK VILLAGE COUNCIL"
"5424","NAKNEK NATIVE VILLAGE"
"5424","NAKNEK"
"5424","PAUG-VIK INCORPORATED LTD."
"5425","NATIVE VILLAGE OF ALEKNAGIK"
"5425","ALEKNAGIK"
"5425","ALEKNAGIK NATIVES LTD."
"5426","NATIVE VILLAGE OF CHUATHBALUK"
"5426","CHUATHBALUK"
"5426","CHUATHBALUK TRADITIONAL COUNCIL"
"5427","NATIVE VILLAGE OF EEK"
"5427","IQFIJOUAQ COMPANY"
"5428","NATIVE VILLAGE OF EKUK"
"5428","EKUK"
"5429","NATIVE VILLAGE OF GAMBELL"
"5429","GAMBELL"
"5429","SIVUQAQ"
"5429","SIVUQAQ INC."
"5430","NATIVE VILLAGE OF GEORGETOWN"
"5431","NATIVE VILLAGE OF GOODNEWS BAY"
"5431","GOODNEWS BAY"
"5431","KUITSARAK, INC."
"5432","NATIVE VILLAGE OF HAMILTON"
"5432","NUNAPIGLLURAQ CORP."
"5433","NATIVE VILLAGE OF HOOPER BAY"
"5433","HOOPER BAY"
"5433","NAPARYARMIUT"
"5433","NATIVE VILLAGE OF HOOPER BAY (NAPARYARMIUT)"
"5433","SEA LION CORP."
"5434","KASIGLUK TRADITIONAL ELDERS COUNCIL"
"5434","KASIGLUK"
"5434","KASIGLUK INC."
"5434","KASIGLUK TRADITIONAL COUNCIL"
"5434","NATIVE VILLAGE OF KASIGLUK"
"5435","NATIVE VILLAGE OF KIPNUK"
"5435","KIPNUK"
"5435","KUGKAKTLIK LIMITED"
"5436","NATIVE VILLAGE OF KONGIGANAK"
"5436","KONGIGANAK"
"5436","QEMIRTALEK COAST CORP."
"5437","NATIVE VILLAGE OF KWIGILLINGOK"
"5437","KWIGILLINGOK"
"5437","KWIK, INC."
"5438","NATIVE VILLAGE OF KWINHAGAK (QUINHAGAK)"
"5438","KWINHAGAK"
"5438","NATIVE VILLAGE OF KWINHAGAK"
"5438","QANIRTUUQ INC."
"5438","QUINHAGAK"
"5439","NATIVE VILLAGE OF MARSHALL (FORTUNA LEDGE)"
"5439","FORTUNA LEDGE"
"5439","MASERCULIQ, INC."
"5439","NATIVE VILLAGE OF MARSHALL"
"5440","NATIVE VILLAGE OF NAPAIMUTE"
"5440","NAPAIMUTE"
"5441","NATIVE VILLAGE OF NAPAKIAK"
"5441","NAPAKIAK"
"5441","NAPAKIAK CORP."
"5442","NATIVE VILLAGE OF NAPASKIAK"
"5442","NAPASKIAK"
"5442","NAPASKIAK INC."
"5443","NATIVE VILLAGE OF NIGHTMUTE"
"5443","NIGHTMUTE"
"5444","NATIVE VILLAGE OF NUNAM IQUA"
"5444","NUNAM IQUA"
"5444","NATIVE VILLAGE OF SHELDONS POINT"
"5444","NUNAM IQUA (SHELDON'S POINT)"
"5444","SHELDONS POINT"
"5444","SWAN LAKE CORP."
"5445","NATIVE VILLAGE OF NUNAPITCHUK"
"5445","NUNAPITCHUK"
"5445","NUNAPITCHUK LIMITED"
"5446","PITKA'S POINT TRADITIONAL COUNCIL"
"5446","NATIVE VILLAGE OF PITKA'S POINT"
"5446","PITKA'S POINT"
"5446","PITKA'S POINT NATIVE CORP."
"5447","NATIVE VILLAGE OF SAINT MICHAEL"
"5447","ST. MICHAEL IRA"
"5447","ST. MICHAEL NATIVE CORP."
