"neid_prefix","neid_mid","match","AIANNH_geoname_full","STATES","AIANNHCE","AIANNHNS"
TRBF,KASHIA,n,"Stewarts Point Rancheria",CA,3985,00235473
TRBF,KAWNOK,nd,"Kaw OTSA",OK,5690,01925070
TRBF,KAWNOK,n,"Kaw/Ponca joint-use OTSA",OK,5950,02418647
TRBF,KCKPKS,nd,"Kickapoo (KS) Reservation",KS,1770,00479833
TRBF,KCKPKS,n,"Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area",KS,4910,02418987
TRBF,KCKPOK,nd,"Kickapoo OTSA",OK,5700,02418651
TRBF,KCKPTX,n,"Kickapoo (TX) Reservation",TX,1775,02418986
TRBF,KILGEE,d,"Creek OTSA",OK,5620,01925077
TRBF,KIOWAT,n,"Kiowa-Comanche-Apache-Fort Sill Apache OTSA",OK,5720,02418654
TRBF,KIOWAT,nd,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA",OK,5955,02418655
TRBF,KLAMTH,nd,"Klamath Reservation",OR,1785,02418990
TRBF,KLTSLD,n,"Cortina Indian Rancheria",CA,0780,00221603
TRBF,KOINCA,none,"",,NA,NA
TRBF,KTNIID,nd,"Kootenai Reservation",ID,1800,00394860
TRBF,KWNWBY,d,"L'Anse Reservation",MI,1880,01616978
TRBF,KWNWBY,r,"Ontonagon Reservation",MI,2580,01934329
TRBF,LAGUNA,nd,"Laguna Pueblo",NM,1840,01934340
TRBF,LBRULE,nd,"Lower Brule Reservation",SD,2030,01267015
TRBF,LCORLS,nd,"Lac Courte Oreilles Reservation",WI,1815,01577192
TRBF,LCYTES,nd,"Los Coyotes Reservation",CA,1995,00272219
TRBF,LELWHA,nd,"Lower Elwha Reservation",WA,2040,01528424
TRBF,LFLAMB,nd,"Lac du Flambeau Reservation",WI,1825,01580845
TRBF,LJOLLA,nd,"La Jolla Reservation",CA,1850,00271928
TRBF,LNPINE,nd,"Lone Pine Reservation",CA,1970,00275865
TRBF,LPOSTA,n,"La Posta Indian Reservation",CA,1895,00255947
TRBF,LPOSTA,d,"Campo Indian Reservation",CA,0450,00270242
TRBF,LRIVER,nd,"Little River Reservation",MI,1960,02418998
TRBF,LSHELL,none,"",,NA,NA
TRBF,LSVGAS,nd,"Las Vegas Indian Colony",NV,1915,00853945
TRBF,LTRVRS,nd,"Little Traverse Bay Reservation",MI,1963,02419000
TRBF,LUMBEE,n,"Lumbee SDTSA",NC,9815,02418691
TRBF,LUMMIT,nd,"Lummi Reservation",WA,2070,01511578
TRBF,LVDSRT,nd,"Lac Vieux Desert Reservation",MI,1830,02418993
TRBF,LVLOCK,nd,"Lovelock Indian Colony",NV,2015,00850417
TRBF,LWSXMN,nd,"Lower Sioux Indian Community",MN,2055,00647264
TRBF,LYTTON,n,"Lytton Rancheria",CA,2075,00227877
TRBF,MAKAHN,nd,"Makah Indian Reservation",WA,2085,01511577
TRBF,MCHPDA,n,"Mechoopda TDSA",CA,8450,02418703
TRBF,MCHSTR,n,"Manchester-Point Arena Rancheria",CA,2100,01985200
TRBF,MCKLSH,nd,"Muckleshoot Reservation",WA,2375,01533394
TRBF,MCSKEE,n,"Miccosukee Reservation",FL,2240,00307483
TRBF,MDDLTN,n,"Middletown Rancheria",CA,2255,00228627
TRBF,MEBNSW,nd,"Match-e-be-nash-she-wish Band of Pottawatomi Reservation",MI,2150,02547776
TRBF,MESAGR,n,"Mesa Grande Reservation",CA,2190,02419013
TRBF,MESAGR,d,"Santa Ysabel Reservation",CA,3550,00255932
TRBF,MHATAT,nd,"Fort Berthold Reservation",ND,1160,01934325
TRBF,MHEGAN,nd,"Mohegan Reservation",CT,2320,02419022
TRBF,MIAMIT,n,"Miami OTSA",OK,5730,02418711
TRBF,MIAMIT,nd,"Miami/Peoria joint-use OTSA",OK,5970,02418712
TRBF,MIKMAQ,nd,"Aroostook Band of Micmac Trust Land",ME,0115,02562463
TRBF,MINNCH,nd,"Bois Forte Reservation",MN,0335,02105053
TRBF,MINNCH,nd,"Fond du Lac Reservation",MN~WI,1125,00654521
TRBF,MINNCH,nd,"Grand Portage Reservation",MN,1355,00654523
TRBF,MINNCH,nd,"Leech Lake Reservation",MN,1940,00659096
TRBF,MINNCH,nd,"Mille Lacs Reservation",MN,2270,02419017
TRBF,MINNCH,nd,"White Earth Reservation",MN,4595,01934333
TRBF,MINNCH,nd,"Minnesota Chippewa Trust Land",MN,2285,02419018
TRBF,MNACAN,none,"",,NA,NA
TRBF,MNMNEE,nd,"Menominee Reservation",WI,2175,01831784
TRBF,MNZNTA,nd,"Manzanita Reservation",CA,2115,00245463
TRBF,MOAPAT,nd,"Moapa River Indian Reservation",NV,2315,00845336
TRBF,MODOCN,n,"Modoc OTSA",OK,5740,02418715
TRBF,MODOCN,d,"Ottawa OTSA",OK,5770,02419159
TRBF,MOJAVE,nd,"Fort Mojave Reservation",AZ~CA~NV,1235,00024003
TRBF,MOORTN,nd,"Mooretown Rancheria",CA,2340,02419023
TRBF,MORNGO,nd,"Morongo Reservation",CA,2360,00255940
