AIANNHCE,AIANNHNS,AIANNH_Geoname,AIANNH_Geoname_Full,ANRC_FIPS,ANRCNS,GEOIDFQ,ANCSA_Region,ANCSA_Region_Full
7115,02419147,"Northway","Northway ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7535,02419244,"Tanacross","Tanacross ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7540,02419247,"Tanana","Tanana ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7565,02419252,"Telida","Telida ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6400,02418551,"Deering","Deering ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
6730,02418650,"Kiana","Kiana ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
6755,02418658,"Kivalina","Kivalina ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
7085,02418749,"Noatak","Noatak ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
7110,02419146,"Noorvik","Noorvik ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
7430,02419211,"Selawik","Selawik ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
6790,02418664,"Kobuk","Kobuk ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
6820,02418672,"Kotzebue","Kotzebue ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
6075,02418768,"Ambler","Ambler ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
6250,02418797,"Buckland","Buckland ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
7470,02419218,"Shungnak","Shungnak ANVSA",52120,02419029,2300000US0252120,"NANA","NANA Alaska Native Regional Corporation"
6785,02418661,"Knik","Knik ANVSA",17140,02418878,2300000US0217140,"Cook Inlet","Cook Inlet Alaska Native Regional Corporation"
6290,02418816,"Chickaloon","Chickaloon ANVSA",17140,02418878,2300000US0217140,"Cook Inlet","Cook Inlet Alaska Native Regional Corporation"
7080,02418747,"Ninilchik","Ninilchik ANVSA",17140,02418878,2300000US0217140,"Cook Inlet","Cook Inlet Alaska Native Regional Corporation"
6720,02418648,"Kenaitze","Kenaitze ANVSA",17140,02418878,2300000US0217140,"Cook Inlet","Cook Inlet Alaska Native Regional Corporation"
7263,02575189,"Port Alsworth","Port Alsworth ANVSA",17140,02418878,2300000US0217140,"Cook Inlet","Cook Inlet Alaska Native Regional Corporation"
7400,02419203,"Salamatof","Salamatof ANVSA",17140,02418878,2300000US0217140,"Cook Inlet","Cook Inlet Alaska Native Regional Corporation"
7435,02419212,"Seldovia","Seldovia ANVSA",17140,02418878,2300000US0217140,"Cook Inlet","Cook Inlet Alaska Native Regional Corporation"
7655,02419272,"Tyonek","Tyonek ANVSA",17140,02418878,2300000US0217140,"Cook Inlet","Cook Inlet Alaska Native Regional Corporation"
6450,02418569,"Eklutna","Eklutna ANVSA",17140,02418878,2300000US0217140,"Cook Inlet","Cook Inlet Alaska Native Regional Corporation"
6470,02575181,"Elim","Elim ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
6630,02418629,"Inalik","Inalik ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
6540,02418601,"Golovin","Golovin ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7095,02575187,"Nome","Nome ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
6240,02418796,"Brevig Mission","Brevig Mission ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
6380,02418849,"Council","Council ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
6530,02418595,"Gambell","Gambell ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7740,02419282,"Wales","Wales ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
6825,02418673,"Koyuk","Koyuk ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
6915,02418698,"Mary's Igloo","Mary's Igloo ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7375,02419229,"St. Michael","St. Michael ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7415,02419208,"Savoonga","Savoonga ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7450,02419216,"Shaktoolik","Shaktoolik ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7745,02419284,"White Mountain","White Mountain ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7465,02419217,"Shishmaref","Shishmaref ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7500,02419225,"Solomon","Solomon ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7510,02419232,"Stebbins","Stebbins ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7570,02419253,"Teller","Teller ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
7690,02419276,"Unalakleet","Unalakleet ANVSA",06370,02419308,2300000US0206370,"Bering Straits","Bering Straits Alaska Native Regional Corporation"
6910,02418697,"Marshall","Marshall ANVSA",09800,02419328,2300000US0209800,"Calista","Calista Alaska Native Regional Corporation"
