"id_AK","id_temp","FRN_NameAsPublished","Census_RaceEthCode"
"AKNV",210,"Kenaitze Indian Tribe",5089
"AKNV",231,"Ketchikan Indian Community",5329
"TR48",236,"Keweenaw Bay Indian Community, Michigan",5656
"TR48",211,"Kialegee Tribal Town",5739
"TR48",208,"Kickapoo Traditional Tribe of Texas",5887
"TR48",206,"Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas",5888
"TR48",207,"Kickapoo Tribe of Oklahoma",5889
"AKNV",220,"King Island Native Community",5233
"AKNV",221,"King Salmon Tribe",5135
"TR48",212,"Kiowa Indian Tribe of Oklahoma",5892
"TR48",215,"Klamath Tribes",5896
"AKNV",216,"Klawock Cooperative Association",5330
"TR48",209,"Kletsel Dehe Wintun Nation of the Cortina Rancheria (previously listed as Kletsel Dehe Band of Wintun Indians)",6409
"AKNV",222,"Knik Tribe",5045
"TR48",224,"Koi Nation of Northern California",6130
"AKNV",225,"Kokhanok Village",5137
"TR48",232,"Kootenai Tribe of Idaho",5900
"AKNV",227,"Koyukuk Native Village",5046
"TR48",244,"La Jolla Band of Luiseno Indians, California",5913
"TR48",248,"La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California",5779
"TR48",104,"Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin",5657
"TR48",539,"Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan",5659
"TR48",140,"Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin",5658
"TR48",253,"Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada",6051
"AKNV",242,"Levelock Village",5422
"AKNV",243,"Lime Village",5048
"TR48",249,"Little River Band of Ottawa Indians, Michigan",6035
"TR48",250,"Little Shell Tribe of Chippewa Indians of Montana",5662
"TR48",251,"Little Traverse Bay Bands of Odawa Indians, Michigan",6036
"TR48",247,"Lone Pine Paiute-Shoshone Tribe",6070
"TR48",240,"Los Coyotes Band of Cahuilla and Cupeno Indians, California",5560
"AKNV",246,"Louden Tribe (previously listed as Galena Village (aka Louden Village))",5039
"TR48",254,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",6052
"TR48",255,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",6301
