"Census_RaceEthCode","Census_Description"
5242,"NATIVE VILLAGE OF ELIM"
5242,"ELIM IRA"
5242,"ELIM NATIVE CORP."
5243,"NATIVE VILLAGE OF KIANA"
5244,"NATIVE VILLAGE OF KIVALINA"
5244,"KIVALINA"
5245,"NATIVE VILLAGE OF KOBUK"
5245,"KOBUK"
5246,"NATIVE VILLAGE OF KOTZEBUE"
5246,"KIKIKTAGRUK INUPIAT CORP."
5246,"KOTZEBUE"
5246,"NANA KIC"
5246,"NANA KIK"
5247,"NATIVE VILLAGE OF KOYUK"
5247,"KOYUK"
5247,"KOYUK NATIVE CORP."
5248,"NATIVE VILLAGE OF MARY’S IGLOO"
5248,"MARY'S IGLOO"
5248,"MARY'S IGLOO NATIVE CORP."
5249,"NATIVE VILLAGE OF MEKORYUK"
5249,"MEKORYUK"
5249,"MIKURYARMIUT"
5249,"NIMA CORP."
5249,"NUNIWARMIUT"
5250,"NATIVE VILLAGE OF NOATAK"
5250,"NOATAK"
5251,"NATIVE VILLAGE OF NUIQSUT (NOOIKSUT)"
5251,"KUUKPIK CORP."
5251,"NATIVE VILLAGE OF NUIQSUT"
5251,"NOOIKSUT"
5251,"NUIQSUT"
5252,"NATIVE VILLAGE OF POINT HOPE"
5252,"POINT HOPE IRA"
5252,"TIGARA CORP."
5252,"TIKIGAQ CORP."
5253,"NATIVE VILLAGE OF POINT LAY"
5253,"CULLY CORPORATION INC."
5253,"POINT LAY IRA"
5254,"NATIVE VILLAGE OF SELAWIK"
5254,"SELAWIK"
5255,"NATIVE VILLAGE OF SHAKTOOLIK"
5255,"SHAKTOOLIK"
5255,"SHAKTOOLIK NATIVE CORP."
5256,"NATIVE VILLAGE OF SHISHMAREF"
5256,"SHISHMAREF IRA"
5256,"SHISHMAREF NATIVE CORP."
5257,"NATIVE VILLAGE OF SHUNGNAK"
5257,"SHUNGNAK"
5258,"NATIVE VILLAGE OF TELLER"
5258,"TELLER"
5258,"TELLER NATIVE CORP."
5259,"NATIVE VILLAGE OF UNALAKLEET"
5259,"UNALAKLEET"
5259,"UNALAKLEET NATIVE CORP."
5260,"NATIVE VILLAGE OF WALES"
5260,"WALES NATIVE CORP."
5261,"NATIVE VILLAGE OF WHITE MOUNTAIN"
