"id_AK","id_temp","match","FRN_NameAsPublished","AIANNH_Geoname_Full","STATES","AIANNHCE","AIANNHNS"
"TR48",137,"nd","Ewiiaapaayp Band of Kumeyaay Indians, California","Ewiiaapaayp Reservation","CA",1065,241187
"TR48",151,"none","Federated Indians of Graton Rancheria, California","","",NA,NA
"TR48",143,"nd","Flandreau Santee Sioux Tribe of South Dakota","Flandreau Reservation","SD",1100,1934365
"TR48",142,"nd","Forest County Potawatomi Community, Wisconsin","Forest County Potawatomi Community","WI",1135,2418936
"TR48",36,"nd","Fort Belknap Indian Community of the Fort Belknap Reservation of Montana","Fort Belknap Reservation","MT",1150,767938
"TR48",41,"nd","Fort Bidwell Indian Community of the Fort Bidwell Reservation of California","Fort Bidwell Reservation","CA",1170,260275
"TR48",181,"nd","Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California","Fort Independence Reservation","CA",1195,260277
"TR48",141,"n","Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon","Fort McDermitt Indian Reservation","NV~OR",1210,859740
"TR48",260,"nd","Fort McDowell Yavapai Nation, Arizona","Fort McDowell Yavapai Nation Reservation","AZ",1220,36978
"TR48",281,"nd","Fort Mojave Indian Tribe of Arizona, California & Nevada","Fort Mojave Reservation","AZ~CA~NV",1235,24003
"TR48",451,"n","Fort Sill Apache Tribe of Oklahoma","Fort Sill Apache Indian Reservation","NM",1270,2711352
"TR48",451,"nd","Fort Sill Apache Tribe of Oklahoma","Kiowa-Comanche-Apache-Fort Sill Apache OTSA","OK",5720,2418654
"TR48",451,"n","Fort Sill Apache Tribe of Oklahoma","Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA","OK",5955,2418655
"TR48",148,"nd","Gila River Indian Community of the Gila River Indian Reservation, Arizona","Gila River Indian Reservation","AZ",1310,23998
"TR48",155,"nd","Grand Traverse Band of Ottawa and Chippewa Indians, Michigan","Grand Traverse Reservation","MI",1370,2418951
"TR48",152,"n","Greenville Rancheria","Greenville Rancheria","CA",1380,1666180
"TR48",158,"n","Grindstone Indian Rancheria of Wintun-Wailaki Indians of California","Grindstone Indian Rancheria","CA",1395,266781
"TR48",156,"n","Guidiville Rancheria of California","Guidiville Rancheria","CA",1400,224709
"AKNV",149,"nd","Gulkana Village Council","Gulkana ANVSA","AK",6560,2418604
"TR48",167,"n","Habematolel Pomo of Upper Lake, California","Upper Lake Rancheria","CA",4430,1654496
"TR48",160,"nd","Hannahville Indian Community, Michigan","Hannahville Indian Community","MI",1410,1616983
