"","GEOID","dec.NAME","dec.total","dec.A","dec.AoIC","dec.pct_AIAN","dec.A_AoIC","acs.NAME","acs.total","acs.A","acs.AoIC","acs.pct_AIAN","acs.A_AoIC"
"354","5950","Kaw/Ponca joint-use OTSA, OK",26146,2477,4488,0.171651495448635,0.551916221033868,"Kaw/Ponca joint-use OTSA, OK",26028,1786,3957,0.152028584601199,0.451352034369472
"355","5955","Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA, OK",9690,3635,4613,0.476057791537668,0.787990461738565,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA, OK",9171,2756,4072,0.444008286991604,0.676817288801572
"356","5970","Miami/Peoria joint-use OTSA, OK",4029,646,1029,0.255398361876396,0.62779397473275,"Miami/Peoria joint-use OTSA, OK",4098,720,1019,0.248657881893607,0.70657507360157
"357","6015","Akhiok ANVSA, AK",63,55,56,0.888888888888889,0.982142857142857,"Akhiok ANVSA, AK",160,100,115,0.71875,0.869565217391304
"358","6020","Akiachak ANVSA, AK",683,639,650,0.951683748169839,0.983076923076923,"Akiachak ANVSA, AK",736,691,725,0.985054347826087,0.953103448275862
"359","6025","Akiak ANVSA, AK",462,442,444,0.961038961038961,0.995495495495496,"Akiak ANVSA, AK",377,351,357,0.946949602122016,0.983193277310924
"360","6030","Akutan ANVSA, AK",1585,56,89,0.0561514195583596,0.629213483146067,"Akutan ANVSA, AK",694,149,161,0.231988472622478,0.925465838509317
"361","6035","Alakanuk ANVSA, AK",756,718,724,0.957671957671958,0.99171270718232,"Alakanuk ANVSA, AK",864,757,863,0.998842592592593,0.877172653534183
"362","6040","Alatna ANVSA, AK",15,14,14,0.933333333333333,1,"Alatna ANVSA, AK",11,11,11,1,1
"363","6045","Aleknagik ANVSA, AK",211,132,168,0.796208530805687,0.785714285714286,"Aleknagik ANVSA, AK",92,83,88,0.956521739130435,0.943181818181818
"364","6065","Algaaciq ANVSA, AK",497,468,476,0.957746478873239,0.983193277310924,"Algaaciq ANVSA, AK",650,563,595,0.915384615384615,0.946218487394958
"365","6070","Allakaket ANVSA, AK",177,149,155,0.875706214689266,0.961290322580645,"Allakaket ANVSA, AK",167,141,142,0.850299401197605,0.992957746478873
